episode,avg_reward,avg_found_sources,avg_found_ratio
10,1.349339,0.9000,0.164167
20,-14.459297,1.3000,0.256786
30,12.890107,1.8000,0.434405
40,-9.216788,1.8000,0.343333
50,-2.592815,1.9000,0.370000
60,0.174608,1.6000,0.233095
70,-25.084468,1.7000,0.317619
80,44.907504,3.8000,0.738333
90,14.934199,3.9000,0.765000
100,22.396942,4.3000,0.767500
110,77.095691,4.5000,0.813095
120,27.493891,3.5000,0.752381
130,82.409939,3.5000,0.861310
140,52.245379,4.4000,0.851667
150,81.055443,4.4000,0.858095
160,82.543755,3.7000,0.863333
170,129.930806,3.3000,1.000000
180,76.539724,3.5000,0.902381
190,59.696609,2.8000,0.904762
200,108.621651,3.8000,0.950000
210,76.994814,5.5000,0.937500
220,4.033307,3.3000,0.635833
230,82.146917,3.4000,0.869048
240,103.226692,3.7000,0.966667
250,88.839753,3.2000,0.883333
260,67.480801,3.2000,0.865476
270,39.811646,3.5000,0.712500
280,50.894163,4.4000,0.795833
290,103.846778,3.8000,0.967500
300,67.904140,3.8000,0.854762
310,91.594144,5.4000,0.924643
320,84.363573,4.3000,0.948214
330,91.382834,4.3000,0.950833
340,85.189399,3.8000,0.904167
350,92.458058,4.0000,0.874643
360,98.867341,4.9000,0.955000
370,62.275701,3.0000,0.738333
380,74.260733,3.7000,0.904167
390,93.145946,3.8000,0.909167
400,50.264926,3.8000,0.804167
410,92.493799,3.9000,0.908333
420,20.235915,4.4000,0.694881
430,63.009416,2.9000,0.768095
440,7.775105,3.2000,0.748333
450,13.853216,2.6000,0.606667
460,72.428757,3.5000,0.885000
470,28.077055,3.0000,0.738333
480,36.771627,3.8000,0.695833
490,43.116007,3.8000,0.852262
500,68.615174,3.1000,0.859524
510,107.515075,4.0000,0.958333
520,98.392097,4.0000,0.862500
530,115.045144,4.3000,0.955000
540,63.373326,4.2000,0.904167
550,76.067076,4.5000,0.933333
560,-0.826897,4.2000,0.800595
570,55.177383,4.6000,0.860714
580,87.956730,4.2000,0.900000
590,96.838367,3.6000,0.866667
600,48.376849,3.1000,0.827381
610,115.384579,3.6000,0.975000
620,72.435907,3.3000,0.817500
630,78.582739,4.4000,0.885714
640,44.632029,4.4000,0.829762
650,59.918698,4.8000,0.773214
660,28.503094,2.9000,0.583095
670,66.595310,2.6000,0.752381
680,87.750050,3.8000,0.885714
690,128.078936,4.1000,0.985714
700,145.372038,5.7000,0.985714
710,52.096918,4.2000,0.908929
720,82.183977,4.0000,0.914881
730,74.143094,5.4000,0.927381
740,87.027323,3.8000,0.940000
750,72.405774,4.7000,0.958929
760,82.233795,4.0000,0.950000
770,101.095677,3.3000,0.891667
780,117.418084,4.9000,0.975000
790,113.210768,5.4000,0.952381
800,85.625164,4.6000,0.921429
810,98.562829,4.8000,0.965714
820,91.767367,3.8000,0.930000
830,120.602007,5.1000,0.980000
840,88.354157,4.7000,0.855357
850,94.897436,4.3000,0.854762
860,49.558997,4.4000,0.918095
870,52.186439,5.6000,0.920833
880,107.038753,4.1000,0.946667
890,47.408798,3.7000,0.854167
900,43.272500,4.5000,0.767143
910,70.051289,4.0000,0.887500
920,59.697120,4.5000,0.839167
930,68.856591,3.4000,0.869048
940,78.697277,4.3000,0.927976
950,109.129459,4.2000,0.983333
960,107.709970,3.1000,0.891667
970,54.003206,4.5000,0.818571
980,84.075428,4.5000,0.973214
990,96.631287,5.2000,0.933333
1000,62.871914,4.6000,0.887500
1010,97.417480,3.9000,0.933333
1020,90.187847,4.5000,0.916667
1030,129.693772,5.2000,1.000000
1040,114.465248,3.9000,0.975000
1050,96.062238,2.2000,0.960000
1060,112.955834,4.5000,0.933333
1070,86.217655,3.6000,0.941667
1080,112.431316,3.3000,0.941667
1090,70.569808,3.2000,0.876429
1100,65.855594,4.0000,0.914167
1110,18.081051,2.6000,0.706667
1120,96.984672,3.8000,0.905000
1130,96.922643,4.0000,0.950000
1140,66.556637,3.6000,0.872857
1150,77.026778,4.5000,0.915000
1160,118.102332,5.0000,1.000000
1170,85.002820,3.7000,0.950000
1180,107.794749,3.6000,1.000000
1190,102.659165,5.2000,0.966667
1200,120.137350,5.8000,0.985714
1210,91.558327,4.8000,0.952381
1220,60.604310,4.8000,0.962500
1230,103.607495,3.6000,0.941667
1240,54.804428,4.5000,0.914167
1250,63.411040,4.0000,0.888333
1260,69.194265,4.4000,0.865714
1270,48.195943,4.4000,0.874048
1280,36.372740,4.0000,0.851429
1290,55.931225,3.9000,0.858929
1300,62.234714,4.7000,0.871429
1310,28.558338,2.6000,0.720000
1320,31.852353,3.8000,0.707738
1330,32.496854,3.8000,0.746905
1340,51.291882,3.0000,0.777976
1350,69.050918,3.8000,0.841667
1360,65.744406,5.1000,0.923810
1370,53.719478,3.7000,0.810833
1380,41.353720,3.7000,0.653929
1390,63.659617,4.4000,0.871667
1400,80.493465,3.4000,0.792500
1410,6.617404,4.3000,0.781190
1420,84.918027,3.8000,0.946429
1430,50.262544,4.3000,0.763333
1440,102.785440,4.5000,0.980000
1450,37.045025,3.8000,0.888333
1460,54.408505,4.1000,0.883333
1470,97.780064,4.5000,0.962500
1480,109.506024,4.2000,0.955000
1490,84.062786,4.0000,0.940714
1500,74.208874,4.5000,0.831667
1510,111.384956,5.1000,0.973214
1520,43.410912,3.6000,0.855000
1530,52.348351,4.3000,0.888929
1540,108.418968,4.5000,0.883333
1550,71.674624,4.2000,0.815476
1560,66.164551,4.0000,0.796429
1570,69.519427,5.0000,0.854762
1580,81.212348,5.1000,0.944048
1590,82.254489,4.6000,0.925000
1600,104.673339,4.2000,0.941667
1610,104.343316,3.8000,0.925000
1620,128.298891,3.9000,0.983333
1630,87.424174,4.2000,0.916667
1640,110.393898,4.7000,0.973214
1650,128.235805,4.6000,1.000000
1660,125.977286,4.6000,0.985714
1670,136.092501,4.2000,1.000000
1680,92.704324,4.0000,0.870833
1690,94.721067,4.5000,0.966667
1700,114.416522,4.1000,0.900000
1710,51.841845,4.3000,0.838690
1720,59.825514,4.4000,0.845833
1730,92.129095,5.9000,0.933929
1740,46.819534,3.6000,0.887381
1750,50.762176,3.9000,0.820714
1760,57.995459,4.0000,0.885714
1770,53.544648,4.7000,0.833333
1780,70.673571,3.9000,0.870714
1790,35.000133,4.3000,0.711310
1800,57.381421,3.4000,0.890476
1810,101.084556,5.7000,0.916667
1820,58.733839,4.0000,0.792500
1830,83.637620,4.8000,0.870833
1840,73.110594,4.7000,0.929167
1850,105.212450,5.5000,0.967500
1860,87.555215,3.9000,0.899048
1870,105.184852,4.8000,0.975000
1880,9.097267,4.8000,0.879167
1890,140.039217,4.7000,1.000000
1900,61.531956,4.6000,0.937500
1910,124.521952,5.9000,0.983333
1920,57.684643,3.3000,0.873810
1930,76.033600,3.8000,0.910714
1940,75.503941,5.4000,0.916667
1950,82.273497,3.2000,0.883333
1960,72.599795,4.3000,0.887500
1970,54.098590,4.1000,0.921667
1980,90.864829,4.7000,0.939881
1990,93.907716,4.8000,0.973214
2000,47.876600,3.6000,0.812500
2010,110.791000,4.0000,0.973214
2020,95.111193,4.0000,0.933333
2030,69.953438,3.3000,0.944048
2040,116.579998,3.4000,0.966667
2050,78.491032,3.7000,0.883333
2060,84.946314,5.4000,0.923214
2070,126.640949,4.9000,1.000000
2080,70.154423,3.6000,0.859524
2090,88.128041,4.1000,0.845833
2100,79.697459,3.1000,0.900000
2110,63.358590,5.5000,0.916667
2120,74.884615,3.9000,0.932381
2130,74.205257,4.5000,0.766667
2140,64.626311,4.2000,0.920833
2150,4.594765,4.9000,0.860714
2160,75.691607,3.5000,0.825000
2170,127.036704,4.5000,0.983333
2180,77.726076,4.4000,0.896667
2190,95.176043,4.2000,0.883333
2200,82.953487,4.2000,0.835714
2210,110.887358,5.2000,0.963333
2220,124.293865,5.3000,0.983333
2230,69.258504,3.9000,0.904167
2240,99.557891,4.7000,0.945833
2250,47.501272,4.2000,0.885714
2260,91.850184,2.8000,0.935000
2270,76.559197,3.3000,0.910714
2280,88.083167,4.8000,0.941667
2290,82.640808,4.3000,0.787500
2300,76.881688,3.2000,0.829048
2310,43.044258,3.9000,0.767500
2320,75.845468,4.3000,0.910000
2330,53.210865,4.4000,0.863929
