2026-02-25 20:30:25,758 | INFO | Episode 10/5000 | Avg Reward: 1.83 | Avg Length: 206.30 | Avg Loss: 1.7307 | Avg Found Sources: 0.40 | Success Rate: 0.00% | Partial Success Rate: 30.00% | Avg Reward Components: conc=0.01, found=0.02, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:30:39,765 | INFO | Episode 20/5000 | Avg Reward: 5.74 | Avg Length: 214.20 | Avg Loss: 2.6015 | Avg Found Sources: 0.70 | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:30:53,831 | INFO | Episode 30/5000 | Avg Reward: 4.42 | Avg Length: 217.30 | Avg Loss: 2.1982 | Avg Found Sources: 0.60 | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.02, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:31:07,302 | INFO | Episode 40/5000 | Avg Reward: 2.99 | Avg Length: 210.40 | Avg Loss: 1.1832 | Avg Found Sources: 0.40 | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.02, found=0.02, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:31:20,735 | INFO | Episode 50/5000 | Avg Reward: 3.28 | Avg Length: 205.70 | Avg Loss: 1.2041 | Avg Found Sources: 0.40 | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.02, found=0.02, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:31:34,231 | INFO | Episode 60/5000 | Avg Reward: 4.38 | Avg Length: 209.90 | Avg Loss: 2.4744 | Avg Found Sources: 0.60 | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:31:47,825 | INFO | Episode 70/5000 | Avg Reward: 3.49 | Avg Length: 210.50 | Avg Loss: 1.7614 | Avg Found Sources: 0.60 | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.01, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:32:01,426 | INFO | Episode 80/5000 | Avg Reward: 6.29 | Avg Length: 209.40 | Avg Loss: 2.1060 | Avg Found Sources: 0.50 | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.03, found=0.02, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:32:15,445 | INFO | Episode 90/5000 | Avg Reward: 8.05 | Avg Length: 218.70 | Avg Loss: 2.8138 | Avg Found Sources: 0.80 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.04, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:32:30,023 | INFO | Episode 100/5000 | Avg Reward: 1.89 | Avg Length: 227.80 | Avg Loss: 1.8296 | Avg Found Sources: 0.60 | Success Rate: 0.00% | Partial Success Rate: 40.00% | Avg Reward Components: conc=0.00, found=0.03, collision=0.00, battery=-0.00, distance=-0.00, success_done=0.00, failure_done=-0.02
2026-02-25 20:32:45,331 | INFO | Episode 110/5000 | Avg Reward: 3.69 | Avg Length: 236.20 | Avg Loss: 2.3567 | Avg Found Sources: 0.80 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.00, found=0.03, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
